factor,folder,nd,nbad,nmir_bad,ic,resid_mean,max_mirror_dev,lambda,lambda_short,lambda_long,ssm,gamma,share,share_ic,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,gsd1,gsd2,gsd3,gsd4,gsd5,gsd6,gsd7,gsd8,gsd9,gsd10
hm101/bid_pre15_imb_vs_mkt_mean_corr_pre15_ret_vs_event_stk,hm101,2417,0,0,-0.02887558665392341,-0.00026734675103126567,0.0,-0.8920292434642855,-1.0,-0.7984901908935036,-1.0,-0.9878787878787879,0.5514329054972679,0.4485670945027322,31.0644248244111,27.569680830757644,25.37313337573703,20.870552097989346,18.944550336166145,15.454546551759703,10.188836746793159,5.587436205032486,-0.7482795862222581,1.0671478309428064,-0.009101319861157533,-0.004335863413180965,-0.0018743210337476732,-0.000463947045488704,-7.34972398226684e-08,-0.000161966812062887,-0.0010334450571054725,-0.002431223621628341,-0.004610637817307087,-0.004595441743973669,477.7554994091367,512.8979633769299,538.1231462694959,552.5277852282389,568.5427771062655,580.6511541021246,587.17410240427,596.3102128799158,599.7362765684879,578.8150327815686
hm101/bid_pre15_other_avg_dropmag_corr_pre15_buy_vs_mkt_tot,hm101,2417,0,0,0.019476769292053362,0.00015675966387906803,0.0,0.45501434593720796,-0.44300877962563423,1.0,-0.44300877962563423,0.7818181818181819,0.25140023414480966,0.25140023414480966,15.515921250185379,7.707613895924294,5.673073131645317,6.460663467769328,9.472343145045704,13.487974575386842,16.58600782505296,21.261253624395383,27.30600790783554,31.951719386995656,-0.001757372268078799,0.0020696687691212183,0.0025363023616418656,0.0015977593934507054,0.00041069668806799863,-0.0002610618442273189,-0.00022353178722057254,0.001062911094578816,0.004170950532578545,0.009713686688261813,531.7642828336288,575.071250345389,597.1207700709209,601.3024412772094,596.7463309207403,586.9779058758069,567.7132726709066,543.1638332347168,511.74861621604134,474.2473169565159
hm101/bid_pre15_ret_vs_event_stk_corr_post15_ret_vs_event_stk,hm101,2417,0,0,-0.05681688251683174,-0.0007333165276690787,0.0,-1.0000000000000002,-1.0,-1.0,-1.0,-1.0,0.42945981609572054,0.5705401839042794,33.146704437638455,33.0894417810499,31.209521525481133,29.649430857697634,26.91055551622086,22.648029187416416,18.235131622832576,8.886049852090771,-5.410532431706747,-43.03532386295847,-0.01096434076147428,-0.007077236992943343,-0.003910280022188694,-0.0017602684165671661,-0.0003735117425244889,0.00013452878364399867,-0.0003170265299019292,-0.002519747004965212,-0.007687530100142655,-0.02160815320209882,458.9252586648907,483.75120550337846,505.5713388685678,525.4032379089754,543.191071676605,557.987374103723,574.9341033412551,594.6607791990176,627.080490591923,687.1119756044405
hm101/bid_pre15_ret_vs_event_stk_skew,hm101,2417,0,0,-0.02054793405983519,-0.00023670539886425825,0.0,-0.798520316173941,-0.1941917670812026,-0.9530766186988047,-0.9530766186988047,-0.8787878787878788,0.4304462983406791,0.569553701659321,18.547681120603997,19.742181224449677,20.238876419941352,19.84361886092818,17.732558638004992,16.186318784877297,16.524095832251,13.96939186081808,10.16355441006508,2.4649117908424727,-0.00353924190325371,-0.002458839198836776,-0.001656825161126396,-0.0009154570442595295,-0.00017252988438961567,-3.0749698551596075e-06,-0.0002371504922370426,-0.001251363081191758,-0.0032400150081786684,-0.0068367319176422334,534.7721916354039,540.0550078234529,538.2207249214039,536.8400264986917,545.7355904716032,561.8763058627638,575.2318231167867,584.9132167688227,591.6811785394946,595.0425615269061
hm101/bid_pre15_ret_vs_event_stk_std,hm101,2417,0,0,-0.03954723690931785,-0.0010133247384455507,0.0,-0.6553510362861078,1.0,-1.0,-1.0,-0.15151515151515152,0.363341260309856,0.636658739690144,13.844775139328066,17.415386310509263,21.453693559944526,23.04214122957529,24.41562009308621,23.528233527197006,23.134401522812684,21.507707226937296,13.382380121867829,-26.356211512215047,-0.0060110645392643085,-0.003603672772948917,-0.002601532523870317,-0.00138817105925241,-0.00039651931749808323,0.0002817894308962126,0.0003493266832743318,-0.00043787040419864833,-0.003999553350729906,-0.02072664431728025,417.7348442363745,457.6661565267569,483.1535768932363,501.75666973738737,521.0486837668864,539.0939829198599,561.5883872213786,587.8952012686601,632.0765360643856,792.2940990620747
hm101/bid_pre15_spread_vs_mkt_mean_corr_pre15_divergence,hm101,2417,0,0,-0.024725771305573845,-0.00016822244035702175,0.0,-0.8552443864856203,-0.7400489248803945,-1.0,-1.0,-0.9878787878787879,0.591394177392603,0.40860582260739703,23.35277944072272,24.592153277595404,22.59986482068614,19.576352980149746,16.296087906898446,11.19475000188617,10.983232017616539,9.352933804820182,8.726867287770093,8.70785492265265,-0.007984121102644319,-0.004381989569662718,-0.0018196093136744647,-0.0004191047308166882,8.16333068746556e-05,-0.0003061606465399418,-0.0011574406038456432,-0.0021966217392384415,-0.0030572898773136557,-0.0033168445883555715,451.8669720854954,494.93125198473814,525.9542798013539,550.4396860099382,572.2232232334204,585.8508922854938,598.5786731384036,601.8326451378894,602.8241221190314,595.5917046213201
hm101/bid_pre15_spread_vs_mkt_mean_skew,hm101,2417,0,0,-0.02815044998752574,-0.0003415963225909293,0.0,-0.5272856978155869,0.5405952158943129,-1.0,-1.0,-0.7454545454545455,0.4455297984039091,0.554470201596091,16.085547488804032,22.85234013201151,26.274465774915917,25.185200526452526,23.236135032869246,19.666929121928273,14.832841026374975,9.487291019792936,4.465249631185231,-6.64476070645178,-0.0038191324141614823,-0.004367707692812478,-0.002879867597407385,-0.0011328120317748538,-0.00019015323102599053,-4.072779422639518e-06,-0.0006832788930799836,-0.00218129700220756,-0.004133353450309249,-0.008417178572733133,451.5970986359414,486.5625467254333,525.4421688062532,546.9891626717989,564.1154487335552,579.674547698392,593.0779660980603,602.052720601576,606.6762090754344,613.3656747494138
hm101/bid_pre15_vol_rank_corr_post15_vol_rank,hm101,2417,0,0,-0.05027978395443751,-0.0006133531720445135,0.0,-1.0000000000000002,-1.0,-1.0,-1.0,-1.0,0.4399391402316582,0.5600608597683417,34.61149048631946,31.744171926078373,30.283962795054315,27.453800709188485,24.47672889278146,21.28815310464699,17.01455289704902,9.877915025169495,-4.91422435703519,-36.52295954281612,-0.011020425697844586,-0.005959021667415893,-0.003274990059663273,-0.0013184269623562888,-0.00027734246950113093,0.00010495413659389364,-0.00027293396463766103,-0.0019865087312680965,-0.006781108782364093,-0.018880626583935942,461.8084670919946,491.0248344929004,514.6333736409705,531.3977473374756,546.3199763562756,562.1169146884104,574.1282165298242,594.4445287174509,625.6651725867615,666.9872736998208
hm101/bid_pre15_vol_rank_corr_pre15_volat_vs_mkt_mean,hm101,2417,0,0,-0.02625750652050243,-0.00012648545603048564,0.0,-0.5550993938218324,-1.0,-0.05467553704305954,-1.0,-0.9272727272727272,0.5996986546698901,0.4003013453301098,29.736557826691925,23.449999133253602,20.21528226413327,17.662650522571102,14.236024304459894,13.28922126489431,9.796495365972596,8.631542605305402,5.5782435435178215,12.489730173586077,-0.00979824000869788,-0.003982719849787226,-0.0016765566087769655,-0.000332622912407236,0.00011940120215488652,-0.00023497128533195416,-0.0011626656797889155,-0.0024586218395965093,-0.004341552259718893,-0.0022624718225213083,468.9702530245464,509.5757135081797,531.6856678614845,554.1077385253809,569.9368890827463,585.7258326499247,595.2553219701628,603.9199587600293,601.5080528508494,568.5656985270117
hm101/bid_pre15_vol_share_p75,hm101,2417,0,0,-0.05012102296690912,-0.0006933570927257848,0.0,-0.9697358733252422,-0.8808884747216573,-1.0,-1.0,-0.9878787878787879,0.44250211834579073,0.5574978816542093,33.03260002429731,33.85159351552582,28.67720257270026,24.64473931634389,20.9188784409432,16.00634099713624,13.270961287509055,6.494913833998626,-2.4197024122565103,-19.45246765991817,-0.010710223133124067,-0.006298261052624832,-0.003215497351668688,-0.001354961632875414,-0.0002929036839210899,8.96033875218287e-05,-0.0003321682096018231,-0.002284740151857352,-0.0069561353224627705,-0.018072378723569163,478.3396599819454,511.66917216830933,521.2130297709656,530.4663268373201,536.3936106347603,544.4906227194937,555.7722217052327,572.3970526079811,603.3893195180196,689.8511352426127
hm101/bid_pre15_vol_vs_mkt_mean_corr_post15_divergence,hm101,2417,0,0,-0.058137587608291214,-0.0009312951170247724,0.0,-0.994373754306381,-0.9096087316960976,-1.0,-1.0,-0.9878787878787879,0.3647594630846857,0.6352405369153145,31.959221275399372,29.04762897832317,27.86289045657119,28.102494563276093,27.136941608379523,26.377552110160295,23.735750012487642,16.60140477002985,-2.789923604164599,-52.73527950034972,-0.009850619710133464,-0.005372228061391966,-0.003243915615446082,-0.0018154448845162457,-0.0005843282626921241,0.0005478226860736697,0.000917501674270622,-0.0009585648182353551,-0.008515285723824192,-0.028331229775371426,491.55292239256397,512.6167255526551,518.3906242349838,520.5598721187141,516.5561999455279,515.1975084778923,529.5372947798651,565.3655523596059,629.546999046964,733.1626805486577
hm101/bid_pre15_vol_vs_mkt_mean_corr_post15_vol_rank,hm101,2417,0,0,-0.046673480343845934,-0.0005402118219883476,0.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,0.4374138231825151,0.562586176817485,33.68511524212328,30.864678221591436,28.191629277138052,26.517393319579142,23.9815038432532,21.5274229231331,15.312814520385455,8.807554713901043,-5.442652982958537,-28.122989648892585,-0.010199448221729556,-0.005548491913165308,-0.0028379954038987736,-0.0012928954261941137,-0.0003004983950635299,0.00014361527964415995,-0.0002822640151616471,-0.0020845058776800263,-0.007027311308007649,-0.016703473240601098,470.9128048224653,497.7840040140084,519.2814759353189,535.4826922425323,547.1560949281895,562.5528583260038,575.7711467188446,597.6629456625856,628.3378905655125,641.6378727609579
hm101/bid_pre15_volat_vs_mkt_mean_std,hm101,2417,0,0,-0.021084509806912205,-0.0006681414185636333,0.0,-0.4459954669469108,1.0,-0.9892941421709431,-0.9892941421709431,0.12727272727272726,0.3714740239944015,0.6285259760055985,10.823368345049635,14.729903374631943,17.764999702318363,19.24600948449588,20.779030509751237,21.46948457115929,21.62115850983746,19.418242466013837,15.784027775057389,-6.561924298676157,-0.003732320640666477,-0.001878647035515682,-0.001191034293198968,-0.0005851300693328663,-0.00019701848185793195,0.00015427615891365278,0.0003177882182895204,-0.0003423197754272996,-0.0020609592131249324,-0.010901003256427554,439.15903979471966,481.80521981209296,505.5882525590747,522.5394292495012,537.6951654980529,553.4577239301323,568.6592124394589,589.750397939328,621.6268598127086,722.7130350289151
hm102/imb10_late30_bot20_A5_inertia_area,hm102,2423,0,0,-0.0726778098491936,-0.0005940589673048482,0.0,-0.9074548861670056,-0.6363069987418731,-1.0,-1.0,-0.9878787878787879,0.4636159321300163,0.5363840678699838,39.15490085892541,42.77150264835144,37.603041729411174,34.22858794558804,26.49989225379218,19.881632899134303,11.42433845619421,0.5215604608130013,-12.02246424247793,-31.77057168536163,-0.014076199231043994,-0.01078107774855854,-0.005733992961065921,-0.0024551154890845137,-0.000372789926781807,-2.439145858165749e-05,-0.0014906202266978215,-0.0050080464072125895,-0.011090268136095493,-0.02105124929676652,473.16573347792024,464.7563856054662,483.358034628612,503.0221743752438,519.9319847016226,539.0554338341517,564.2903050034919,589.3149510056751,624.4470988910024,661.8395003043254
