factor,folder,nd,ic,lambda,lambda_short,lambda_long,ssm,gamma,share,share_ic,resid_mean,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,gsd1,gsd2,gsd3,gsd4,gsd5,gsd6,gsd7,gsd8,gsd9,gsd10
hm102/min_totimb_F7_absD_tau_slope_mean,hm102,2429,-0.023243233069410826,-1.0,-1.0,-1.0000000000000002,-1.0000000000000002,-1.0,0.3717390060163233,0.6282609939836766,-0.00037037360606200566,7.1896915514686786,6.2018619785999105,5.511949103323401,4.658235196777547,4.112926345493719,3.3755453690425385,2.4140048056770755,0.9813468622173864,-1.5753460582251557,-8.752864255517958,-0.003637980698813732,-0.0024299950077560635,-0.0014831260911704082,-0.0007220281250833306,-0.00022960411883283106,0.0002003743117085711,0.00024843672853710894,-0.0005891750220952532,-0.003254792207793154,-0.010974969232049785,246.23745051134244,234.56900551088515,233.56919052846087,232.3569213510023,231.15154380109516,229.28241117649938,230.62888488598938,235.64201078666684,248.72338525371208,282.20466827262777
hm102/totimb_fullday_mid60_B4_dr_std,hm102,2429,0.04005071969687453,1.0,1.0000000000000002,1.0,1.0,1.0,0.433975331072884,0.433975331072884,0.00044358412457198,-6.903817862721364,-3.016765204890931,-1.2781768464664658,-0.13197738742383885,0.3664710109242195,1.898912360736389,3.958657027056039,5.800572477436375,7.570095527953225,15.455282326589945,0.007934536502350658,0.004631629474537624,0.002774445374238878,0.001466954995158741,0.0003809534265526829,-0.0001488918670551208,0.0005939925098531589,0.0029165790693609687,0.006946775595255065,0.01211016049204985,284.319633707035,265.8580944992539,260.0789064875985,253.9000633590592,244.35464750213126,233.01574024779225,219.1287496111253,206.3025900232097,194.42920277961215,233.91427517886265
hm102/totimb_fullday_top20_B1_decline_count,hm102,2429,-0.016990183751169112,-0.9931983211918651,-0.9892501691093383,-1.0,-1.0,-0.9878787878787879,0.49362491697252625,0.5063750830274738,-0.0003501082317482322,10.656785366406291,3.3144938609564845,2.919226297313111,2.965696561291196,2.1039593793835634,2.0543230107063684,1.927792217531237,0.6609240735383174,0.1148014816739104,-2.9146253015529546,-0.005363032939005541,-0.0016239292825881507,-0.0008232630952308995,-0.0003742921310155623,-2.9438448850553152e-05,-2.6839102624441444e-05,-0.0002206364534913183,-0.0008461846965324357,-0.0019892947176096136,-0.005343164652472383,251.1696381076177,227.97500092939063,231.517631498586,233.9196863079337,236.5669022504473,239.46293631883384,242.53777811201604,246.19717864811417,251.3634562511388,263.7139574463104
hm102/totimb_mid3h_all_C4_hot_cold_std_ratio,hm102,2429,-0.025725683216076354,-1.0,-1.0,-1.0000000000000002,-1.0000000000000002,-1.0,0.40919085655661147,0.5908091434433884,-0.0002512853072773261,7.528898023622623,5.5408349417043015,3.9716932339781916,3.8147863883698387,3.110886888317549,2.034853238143599,1.0653417605344504,-0.6055939861755426,-2.169964450536041,-4.666727991681579,-0.00280337410468873,-0.003645937939342848,-0.0024595306789645444,-0.0012587041433916465,-0.0002563438341776587,6.704388206467446e-05,-0.0003994547177071063,-0.0017799319078738675,-0.004476733774016613,-0.008461430690700687,269.4671521252687,231.24148036029806,222.22362255268888,222.24529617821855,225.5995593555845,232.32779564408366,239.25890915951965,244.71759708748021,251.91550369012106,253.14237851161454
hm102/totimb_mid3h_mid60_C4_hot_cold_std_ratio,hm102,2429,-0.028739618810900935,-1.0,-1.0,-1.0,-1.0,-1.0,0.4390677931413506,0.5609322068586495,-0.0002486513569810739,7.533420430235111,6.1942769545187835,4.649068431225576,3.8467075969475615,2.713151949832712,1.8546801819536107,0.8079520167490493,-0.0436221935092901,-2.629284933948738,-5.3407268928626115,-0.004476920146906527,-0.004334296806398443,-0.0024086876391098966,-0.001082901816307552,-0.00020665979573218296,2.6127584290569394e-05,-0.0005133818361648444,-0.0017197613019558282,-0.004669043317152528,-0.009105442378482546,253.29722322195033,226.88660115590716,224.73733040041196,225.94968803167075,229.8696129165315,235.22544056576692,241.45224911537616,247.6130344743291,253.55524245163096,256.2715604623443
hm102/totimb_mid3h_mid60_D2_dr_skew,hm102,2429,-0.01946351728542634,-1.0,-0.9999999999999998,-1.0,-1.0,-1.0,0.5066308406103336,0.4933691593896664,-0.00012634663102532975,8.438551075641842,5.119549006061179,3.6221264772509585,3.0632284286236313,2.250987452991949,1.344498327398351,0.6392076495693456,-0.5788354303874093,-1.6148311685657541,-2.6828854880416477,-0.004812933593532817,-0.002955158213665931,-0.0013839369007686256,-0.0005724372870579584,-7.2341028639312e-05,-8.151228221184795e-05,-0.000514877716030116,-0.0016535411351170034,-0.003283645813379122,-0.004006786683998246,254.76473140888496,236.21481653816514,235.21820632289533,236.6103223706509,238.99377808728258,240.74586071773453,241.82468935162154,242.8500124276447,240.0461156756738,231.8008530462456
hm103/SEG1_T180_BIN16_S3_TAU050_EARLY_INFO_SHARE16_RAW,hm103,1654,0.02452742399486453,0.40788507498149007,0.026273857374884278,1.0,0.026273857374884278,0.9151515151515152,0.36898691584445803,0.36898691584445803,0.00021310023265495143,2.658642507331777,-1.3328319668521247,-3.6348878070132296,0.32746476542184627,2.9982766418694857,5.037346929396561,6.426654430665289,8.004236318943663,10.114589378654234,11.329381837486801,0.000956416116046644,0.0020337490874035398,0.0038261967384922405,0.0018652173833329363,0.0002900880105859647,-4.2992002232335e-05,0.00046208001310937315,0.0020342230021923864,0.004770065374166366,0.008119280039112445,259.4198785605503,262.80593586105704,277.16090448401906,260.1778290160356,247.2402377787907,239.00087092480229,231.7607671778608,224.63667416011333,219.25317961469935,219.40787230797287
hm103/SEG1_T180_BIN16_S3_TAU050_K16_TAIL05_ENTROPY_RAW,hm103,1328,-0.024937298991210798,-0.8483218488127836,-0.9475555943421855,-0.7399247957906103,-0.9475555943421855,-0.9757575757575757,0.5215167224133332,0.47848327758666676,-0.00019056846824911503,8.51821890712641,6.914864961380528,3.5091873779630838,2.8567010170762552,3.0091561981901234,2.812296225527633,1.5025647418183101,-0.6864770561137656,-2.057712973914742,-1.329768501768139,-0.008758701340002228,-0.003059100214466262,-0.0007492472738152762,-0.0002730696295935366,-6.571533490367995e-05,4.454607310336066e-06,-0.0005794789709326914,-0.0019718988107618953,-0.004190967489191646,-0.005103006066604832,222.22987778401696,218.48239004461863,222.54382828772356,224.3365714609359,226.96495811083696,232.95595437780943,240.9788308718986,247.9287635040096,254.16385467302763,265.08197868557016
hm103/SEG1_T180_BIN16_TARGET_KURT_RAW,hm103,1572,0.026054854912071115,0.5452355844901043,0.06885973757538738,1.0,0.06885973757538738,0.9151515151515152,0.4342004397036504,0.4342004397036504,0.0002012464433127288,1.648194577929599,-0.08799563780688038,-1.492453473804215,0.49977842500493347,2.112709344149476,3.54098233379031,6.921507853576949,8.152234670346566,8.471112353404603,9.17909637131115,0.002150387292165176,0.0037758816638818267,0.0034862297565767275,0.0015626298687130525,0.00025051958372411325,-8.114309344196107e-05,0.001525733339539174,0.0025963793048452482,0.0043069373677096555,0.0062800533850453375,254.6753541659498,256.39440147561055,256.30637369120575,250.55138081037526,242.35297725097203,234.7251438238058,229.65088426259092,223.65563693450747,219.58559115435827,236.47040473581987
hm103/SEG1_T180_LOGVOL_S1_VOTE_B2_CORR_RAW,hm103,1315,0.03395054404245282,1.0,1.0,1.0,1.0,1.0,0.5039252203565849,0.5039252203565849,1.5875806158417226e-05,-6.753713493595449,-5.423738816365307,-2.1388207980659764,0.27162122324005783,1.8760958277183994,2.7919537561420036,3.5342048317554435,5.575182974364058,7.646068501389713,8.065060703554124,0.007609583851884587,0.0061326081893524915,0.002622675455328734,0.0007033374313804086,3.233024075598364e-05,0.00010631481082933682,0.0007762350993268318,0.0024165473719131203,0.004040112277877603,0.009494923507645194,278.91647277106136,269.7455007266239,253.2739211352931,239.84090985798179,229.6524004775955,222.26602995649276,214.4538610339531,209.70481141990666,204.36307987417104,216.70378432827542
hm103/SEG1_T180_LOGVOL_TARGET_MAX_SHARE_RAW,hm103,2429,0.043173338596158004,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,0.5954502045652238,0.5954502045652238,0.0005778866756662532,-15.445997914592345,-4.085953699732732,-0.38579607840292157,2.049627577826585,3.710372227075176,5.5973887655663646,6.355248583761754,7.319475226149496,7.827538614852145,8.02946027369539,0.016606776649994315,0.006347656864312656,0.002277777740573763,0.00030088643944562127,-0.00016962713472141796,0.00041968340870783197,0.0016995057031626826,0.0034647412322584255,0.005280337623409133,0.006367713393348704,321.0354220093484,274.3679433171453,254.03031787155274,240.61796184741215,231.04118685039924,224.55054837037343,219.64466277295108,217.92010921354046,216.96489009734452,222.7184063597039
